['川', 'J', '5', '6', 'X', 'D', '8']
['湘', 'P', 'F', 'S', 'E', 'E', 'C']
['甘', 'P', 'U', 'H', '5', 'G', 'R']
['鄂', 'K', '2', 'A', 'T', '4', '6']
['云', 'P', '8', 'C', '3', 'R', 'B']
['苏', 'Y', '4', 'R', 'T', 'A', '4']
['川', 'T', 'F', '3', 'M', 'C', 'Z']
['川', 'A', 'Y', 'S', '1', 'V', '2']
['藏', 'F', '5', 'Q', 'G', '6', '5']
['晋', 'L', 'T', 'X', 'Y', 'Y', 'C']
['沪', 'D', 'J', 'P', 'M', '4', '2']
['冀', 'U', 'Q', 'M', '6', '2', 'F']
['鲁', 'X', 'D', '1', '1', 'K', '2']
['贵', 'N', 'A', 'X', 'S', '4', 'T']
['浙', 'Y', 'J', 'Q', '1', '9', 'X']
['渝', 'Q', '0', 'A', 'B', '4', '0']
['京', 'N', 'L', 'G', 'X', 'F', '0']
['赣', 'W', 'F', '6', 'M', '5', '4']
['浙', 'U', 'U', 'C', 'V', '5', '4']
['新', 'R', 'B', 'Z', 'U', '0', '0']
['晋', 'Z', 'M', 'K', '5', 'F', 'V']
['苏', 'Y', '9', 'E', 'W', '9', 'W']
['川', 'F', 'T', 'P', 'E', '5', '8']
['苏', 'R', 'B', 'S', 'Z', '0', 'U']
['川', 'M', 'E', 'Z', '7', 'C', '4']
['宁', 'B', '2', 'A', 'Q', 'J', 'Q']
['鲁', 'P', 'X', 'Z', 'K', 'S', 'V']
['浙', 'G', 'Y', 'G', '3', 'W', '6']
['粤', 'W', 'T', '4', '2', 'U', 'N']
['川', 'S', 'J', 'M', 'J', 'F', '1']
['闽', 'V', '3', 'M', 'E', 'Y', 'F']
['苏', 'B', 'T', 'E', 'J', 'Q', 'R']
['皖', 'J', '6', 'Y', 'P', '1', 'N']
['渝', 'F', 'P', '8', 'K', 'B', 'Z']
['云', 'D', '6', '7', '7', 'B', 'S']
['陕', 'Z', 'E', 'U', 'C', 'D', 'W']
['鲁', 'W', '6', '3', 'K', 'F', 'F']
['川', 'Y', 'A', 'D', 'T', '3', 'N']
